timestamp,package_id,order_date,delivery_date,origin,origin_coordinates,current_location,current_coordinates,delivery_location,delivery_coordinates,perishable,temperature_celsius,temperature_issue,status
2025-05-22 14:28:58,PKG001,2025-05-20,2025-05-24,"Batangas City, Batangas","13.750, 121.050","Batangas City, Batangas","13.75,121.05","Laurel, Batangas","14.050, 120.900",Yes,10.53,Exceeded,Awaiting Pickup
2025-05-22 14:30:58,PKG002,2025-05-18,2025-05-24,"Batangas City, Batangas","13.750, 121.050","Magallanes, Sorsogon","13.770531,121.064295","Magallanes, Sorsogon","12.833, 123.850",No,25.22,N/A,In Transit
2025-05-22 14:31:58,PKG003,2025-05-18,2025-05-23,"Cebu City, Cebu","10.32, 123.75","Salay, Misamis Oriental","10.330072,123.745571","Salay, Misamis Oriental","8.867, 124.800",No,18.08,N/A,Awaiting Pickup
2025-05-22 14:56:58,PKG004,2025-05-19,2025-05-28,"Cebu City, Cebu","10.32, 123.75","Cebu City, Cebu","10.32,123.75","Santa Cruz, Zambales","15.767, 119.917",No,15.12,N/A,Awaiting Pickup
2025-05-22 15:09:58,PKG005,2025-05-19,2025-05-22,"Iloilo City, Iloilo","11, 122.67","Iloilo City, Iloilo","11.0,122.67","Binalbagan, Negros Occidental","10.200, 122.867",Yes,7.44,Exceeded,Awaiting Pickup
2025-05-22 15:11:58,PKG006,2025-05-20,2025-05-29,"Cebu City, Cebu","10.32, 123.75","Salcedo, Ilocos Sur","10.30311,123.754307","Salcedo, Ilocos Sur","17.150, 120.533",Yes,9.28,Exceeded,Awaiting Pickup
2025-05-22 15:24:58,PKG007,2025-05-20,2025-05-29,"Batangas City, Batangas","13.750, 121.050","Pandag, Maguindanao","6.78333, 124.80000","Pandag, Maguindanao","6.78333, 124.80000",Yes,6.06,Normal,Delivered
2025-05-22 15:33:58,PKG008,2025-05-18,2025-05-27,"Batangas City, Batangas","13.750, 121.050","Polomolok, South Cotabato","13.739551,121.08499","Polomolok, South Cotabato","6.217, 125.067",Yes,9.81,Exceeded,In Transit
2025-05-22 16:03:58,PKG009,2025-05-19,2025-05-26,"Iloilo City, Iloilo","11, 122.67","Olongapo City, Zambales","10.959657,122.683845","Olongapo City, Zambales","14.83, 120.28",No,12.44,N/A,In Transit
2025-05-22 16:13:58,PKG010,2025-05-18,2025-05-28,"Iloilo City, Iloilo","11, 122.67","Mangaldan, Pangasinan","10.975828,122.709461","Mangaldan, Pangasinan","16.067, 120.400",No,17.44,N/A,In Transit
2025-05-22 16:17:58,PKG011,2025-05-19,2025-05-24,"Cebu City, Cebu","10.32, 123.75","Columbio, Sultan Kudarat","10.305732,123.75277","Columbio, Sultan Kudarat","6.700, 124.933",Yes,2.6,Normal,Awaiting Pickup
2025-05-22 16:18:58,PKG012,2025-05-20,2025-05-28,"Cebu City, Cebu","10.32, 123.75","Bagabag, Nueva Vizcaya","10.299595,123.736696","Bagabag, Nueva Vizcaya","16.600, 121.267",No,21.09,N/A,Awaiting Pickup
2025-05-22 16:18:58,PKG013,2025-05-20,2025-05-26,"Cebu City, Cebu","10.32, 123.75","Romblon, Romblon","10.311933,123.753922","Romblon, Romblon","12.567, 122.267",No,21.43,N/A,Awaiting Pickup
2025-05-22 16:26:58,PKG014,2025-05-18,2025-05-23,"Iloilo City, Iloilo","11, 122.67","San Simon, Pampanga","10.986086,122.674494","San Simon, Pampanga","14.99306, 120.77694",No,17.92,N/A,Awaiting Pickup
2025-05-22 17:20:58,PKG015,2025-05-19,2025-05-26,"Cabuyao, Laguna","14.27833, 121.12472","San Lorenzo, Guimaras","10.65,122.717","San Lorenzo, Guimaras","10.650, 122.717",No,15.42,N/A,Awaiting Pickup
2025-05-22 17:23:58,PKG016,2025-05-18,2025-05-23,"Cabuyao, Laguna","14.27833, 121.12472","Bagulin, La Union","16.60833, 120.43944","Bagulin, La Union","16.60833, 120.43944",Yes,11.96,Exceeded,Delivered
2025-05-22 17:32:58,PKG017,2025-05-19,2025-05-27,"Cebu City, Cebu","10.32, 123.75","San Jose City, Nueva Ecija","10.318973,123.767993","San Jose City, Nueva Ecija","15.783, 121.000",Yes,4.27,Normal,In Transit
2025-05-22 17:47:58,PKG018,2025-05-20,2025-05-29,"Batangas City, Batangas","13.750, 121.050","Midsalip, Zamboanga del Sur","13.734787,121.036261","Midsalip, Zamboanga del Sur","8.000, 123.267",No,12.06,N/A,Awaiting Pickup
